# Averaged per day, units: EUR/MWh
%	 2473
%	 16
% Key	Time	SYS	SE1	SE2	SE3	SE4	FI	Oslo	Krsand	Bergen	Molde	Trheim	Tromse	EE	LT	
1	2013-01-01	31.7341666666667	30.4441666666667	30.4441666666667	30.4441666666667	30.4441666666667	30.4441666666667	32.8783333333333	32.8783333333333	32.8783333333333	32.71625	32.71625	32.71625	31.53875	26.2675
2	2013-01-02	36.6754166666667	36.85375	36.85375	36.85375	36.85375	37.0879166666667	36.9908333333333	36.34375	36.9908333333333	36.85375	36.85375	36.85375	39.99875	34.1258333333333
3	2013-01-03	35.0995833333333	34.9879166666667	34.9879166666667	34.9879166666667	34.9879166666667	35.0270833333333	35.5095833333333	35.4208333333333	35.5095833333333	35	35	35	40.8991666666667	45.76375
4	2013-01-04	34.8075	34.3008333333333	34.3008333333333	34.3008333333333	34.3008333333333	34.5341666666667	35.3983333333333	35.3845833333333	35.3983333333333	34.46625	34.46625	34.46625	41.0791666666667	40.9020833333333
5	2013-01-05	35.3754166666667	35.4545833333333	35.4545833333333	35.4545833333333	35.875	35.4545833333333	35.4683333333333	35.2808333333333	35.2808333333333	35.4545833333333	35.4545833333333	35.4545833333333	37.6025	39.1241666666667
6	2013-01-06	34.8254166666667	34.8404166666667	34.8404166666667	34.8404166666667	34.93625	34.8404166666667	34.8404166666667	34.7641666666667	34.7641666666667	34.8404166666667	34.8404166666667	34.8404166666667	37.1725	36.2866666666667
7	2013-01-07	38.5216666666667	38.7179166666667	38.7179166666667	38.7179166666667	42.6729166666667	39.3445833333333	38.3775	36.6491666666667	37.28375	38.7179166666667	38.7179166666667	38.7179166666667	39.9591666666667	43.6658333333333
8	2013-01-08	40.5079166666667	40.0854166666667	40.0854166666667	40.0854166666667	44.8175	40.0854166666667	40.0854166666667	37.7158333333333	40.0854166666667	40.0854166666667	40.0854166666667	40.0854166666667	37.1654166666667	43.445
9	2013-01-09	39.255	39.7616666666667	39.7616666666667	39.7616666666667	39.7616666666667	39.7616666666667	39.7666666666667	38.02375	39.7666666666667	39.7616666666667	39.7616666666667	39.7616666666667	39.92375	38.5770833333333
10	2013-01-10	40.58625	41.09375	41.09375	41.09375	41.09375	41.09375	41.4395833333333	38.5583333333333	41.4395833333333	41.09375	41.09375	41.09375	40.5525	37.7083333333333
11	2013-01-11	41.8191666666667	42.48875	42.48875	43.0166666666667	43.0166666666667	43.9325	43.1658333333333	38.8675	43.1658333333333	42.48875	42.48875	42.48875	43.3004166666667	38.0041666666667
12	2013-01-12	40.395	40.77125	40.77125	40.7975	41.19625	40.8925	40.8141666666667	38.95375	40.8141666666667	40.77125	40.77125	39.5925	40.8925	39.4875
13	2013-01-13	39.3579166666667	39.4458333333333	39.4458333333333	39.5216666666667	39.5216666666667	39.50375	39.5933333333333	38.90375	39.5933333333333	39.4458333333333	39.4458333333333	39.0341666666667	40.0316666666667	45.4654166666667
14	2013-01-14	46.29375	46.5754166666667	46.5754166666667	51.2025	51.2025	46.5433333333333	51.6520833333333	39.5529166666667	51.6520833333333	46.5754166666667	46.5754166666667	46.5754166666667	45.58625	47.3729166666667
15	2013-01-15	47.83875	50.4375	50.4375	50.4375	50.4375	50.4375	50.55375	40.0829166666667	50.55375	50.4375	50.4375	50.4375	49.5445833333333	46.31625
16	2013-01-16	51.1120833333333	51.3220833333333	51.3220833333333	51.8329166666667	51.90125	51.3220833333333	51.9195833333333	48.7258333333333	51.9195833333333	51.3220833333333	51.3220833333333	50.8879166666667	49.8333333333333	50.4695833333333
17	2013-01-17	53.4354166666667	53.56375	53.56375	53.56375	53.56375	53.56375	53.56375	52.4675	53.56375	53.56375	53.56375	53.56375	49.18125	48.7858333333333
